name,stage,stage_label,description,url,repo,access,tags,url_status
Polaris,benchmarks,Benchmarks & reference datasets,"Community platform for rigorous, versioned benchmarks in drug-discovery ML with leak-resistant splits.",https://polarishub.io,polaris-hub/polaris,open-source,benchmark; evaluation,200
ClinicalTrials.gov,clinical,"Clinical, regulatory & literature data",Registry of 500k+ trials with a modern API; the source for competitive and trial-design landscaping.,https://clinicaltrials.gov,,free-web,trials; api,200
openFDA,clinical,"Clinical, regulatory & literature data","APIs over FDA drug labels, adverse events (FAERS), recalls and device data.",https://open.fda.gov,,free-web,regulatory; api,200
Drugs@FDA,clinical,"Clinical, regulatory & literature data","Approval history, review documents and labels for FDA-approved drugs.",https://www.accessdata.fda.gov/scripts/cder/daf/,,free-web,regulatory; approvals,200
EMA Medicines,clinical,"Clinical, regulatory & literature data",European public assessment reports and product information for centrally authorised medicines.,https://www.ema.europa.eu/en/medicines,,free-web,regulatory; europe,200
DailyMed,clinical,"Clinical, regulatory & literature data","Current FDA structured product labels (SPL), machine-readable and updated daily.",https://dailymed.nlm.nih.gov/dailymed/,,free-web,labels,200
SIDER,clinical,"Clinical, regulatory & literature data",Side-effect resource linking marketed drugs to label-extracted adverse reactions and frequencies.,http://sideeffects.embl.de,,free-web,adverse-events,200
Europe PMC,clinical,"Clinical, regulatory & literature data",Full-text life-science literature with annotations and a solid API for text mining.,https://europepmc.org,,free-web,literature; api,200
PubMed / NCBI E-utilities,clinical,"Clinical, regulatory & literature data",Biomedical citation index and the E-utilities API behind most literature pipelines.,https://pubmed.ncbi.nlm.nih.gov,,free-web,literature; api,200
Google Patents,clinical,"Clinical, regulatory & literature data",Full-text patent search across the major offices with chemical structure indexing; the practical first look at whether a scaffold is already claimed.,https://patents.google.com,,free-web,patents; freedom-to-operate,200
Espacenet,clinical,"Clinical, regulatory & literature data","The European Patent Office's search over 140 million patent documents, with family and legal-status data that the free aggregators do not carry.",https://worldwide.espacenet.com,,free-web,patents; freedom-to-operate,200
Nextflow,infra,Workflow & ML infrastructure,"Dataflow workflow engine with containerised, resumable execution across HPC and cloud; nf-core supplies vetted pipelines.",https://www.nextflow.io,nextflow-io/nextflow,open-source,workflow; reproducibility,200
Snakemake,infra,Workflow & ML infrastructure,"Python-based workflow manager with conda/container integration, common for bioinformatics pipelines.",https://snakemake.github.io,snakemake/snakemake,open-source,workflow,200
MLflow,infra,Workflow & ML infrastructure,"Experiment tracking, model registry and packaging; the usual answer to 'which model made this prediction'.",https://mlflow.org,mlflow/mlflow,open-source,tracking; mlops,200
DVC,infra,Workflow & ML infrastructure,"Git-style versioning for datasets and model artefacts, so screening data stays reproducible.",https://dvc.org,iterative/dvc,open-source,data-versioning,200
Ray,infra,Workflow & ML infrastructure,"Distributed execution for parallel docking, simulation sweeps and model training on one API.",https://www.ray.io,ray-project/ray,open-source,distributed,200
Dask,infra,Workflow & ML infrastructure,Parallel dataframes and task graphs for larger-than-memory chemical datasets.,https://www.dask.org,dask/dask,open-source,distributed; dataframes,200
PyTorch Lightning,infra,Workflow & ML infrastructure,Training-loop framework that standardises multi-GPU training and checkpointing for molecular models.,https://github.com/Lightning-AI/pytorch-lightning,lightning-ai/pytorch-lightning,open-source,training,200
Hugging Face Hub,infra,Workflow & ML infrastructure,Where most released protein and molecule model weights and datasets now live.,https://huggingface.co,,free-web,models; datasets,200
PyChimera,viz,Structure & molecule visualisation,"Use the UCSF Chimera Python API from an ordinary interpreter, so Chimera's structure handling can be scripted inside a normal pipeline instead of its own shell.",https://github.com/insilichem/pychimera,insilichem/pychimera,open-source,chimera; scripting,200
Tangram,viz,Structure & molecule visualisation,"A suite of UCSF Chimera extensions from the same group: QM and QM/MM setup, PLIP interaction depiction, PropKa states, normal modes, and dummy-atom preparation of metal systems for MD. Free for academic use.",https://github.com/insilichem/tangram,insilichem/tangram,academic,metals; chimera; modelling,200
PyMOL (open source),viz,Structure & molecule visualisation,The de facto structure viewer for figures and pose inspection; open-source build plus a commercial edition.,https://github.com/schrodinger/pymol-open-source,schrodinger/pymol-open-source,open-source,visualisation; structures,200
UCSF ChimeraX,viz,Structure & molecule visualisation,"Modern successor to Chimera: large structures, cryo-EM maps, AlphaFold integration and scripting.",https://www.cgl.ucsf.edu/chimerax/,,academic,visualisation; cryo-em,200
VMD,viz,Structure & molecule visualisation,"Trajectory visualisation and analysis for MD, with scripting and rendering for publication figures.",https://www.ks.uiuc.edu/Research/vmd/,,academic,visualisation; md,200
Mol*,viz,Structure & molecule visualisation,The web molecular viewer used by RCSB and PDBe; embeddable in any internal tool.,https://github.com/molstar/molstar,molstar/molstar,open-source,visualisation; web,200
NGL Viewer,viz,Structure & molecule visualisation,"Lightweight WebGL structure viewer, and the nglview Jupyter widget built on it.",https://github.com/nglviewer/ngl,nglviewer/ngl,open-source,visualisation; web,200
3Dmol.js,viz,Structure & molecule visualisation,"WebGL structure viewer, and through its py3Dmol binding the quickest way to eyeball docking poses inside a notebook.",https://github.com/3dmol/3Dmol.js,3dmol/3dmol.js,open-source,visualisation; notebook,200
